x,is_drift,p_value
1.01662104207992,0,0
0.986977483630731,0,0
1.96269727169438,0,0
1.14777995091143,0,0
1.18367074131775,0,0
1.57943900164302,0,0
0.722836510193111,0,0
1.12037797141405,0,0
0.970942183703461,0,0
1.27671350431834,0,0
1.21450789801913,0,0
1.33739842284505,0,0
1.12749541131294,0,0
0.789702022220346,0,0
1.36936291749958,0,0
1.4537298580222,0,0
1.53959640512833,0,0
0.925477164943074,0,0
1.21294597036803,0,0
1.67122293178883,0,0
1.13769988791241,0,0
0.855545428851548,0,0
0.469822110507917,0,0
1.15027603034362,0,0
1.38920132973525,0,0
1.25118603286424,0,0
1.26224641463272,0,0
1.79805573597614,0,0
1.55428178673469,0,0
1.74346775629069,0,0
0.871384193634885,0,0
1.26946712459562,0,0
0.816587148778316,0,0
1.9640372400568,0,0
1.56485949819764,0,0
1.52998623138447,0,0
0.947470720957481,0,0
1.15634752520272,0,0
1.43216161558527,0,0
1.33144666488944,0,0
1.2397848847913,0,0
2.16065951283113,0,0
1.10958462676698,0,0
0.72298219196961,0,0
1.17775863554071,0,0
0.98602121562892,0,0
1.44326039017154,0,0
0.985491229075639,0,0
1.29113919506307,0,0
1.85681903008947,0,0
1.49112267588089,0,0
1.09529997872212,0,0
1.42779152324417,0,0
1.71910834044647,0,0
0.867952984682333,0,0
1.12558510770765,0,0
1.25787077703688,0,0
1.04909001029183,0,0
1.39206960017991,0,0
1.13833227239848,0,0
1.03833860264925,0,0
0.942685787342352,0,0
0.959345379323368,0,0
1.13641143972915,0,0
1.75006448582588,0,0
0.895730009452719,0,0
1.27085757420038,0,0
1.20511600107548,0,0
1.05786598405368,0,0
1.34368614465179,0,0
1.26361857151198,0,0
0.987539821435249,0,0
1.48832489522866,0,0
1.11338012791075,0,0
1.27161958346352,0,0
1.06659929107224,0,0
1.36575494164927,0,0
1.13509864465791,0,0
1.40946104335249,0,0
1.10667665138796,0,0
0.771086870569245,0,0
0.763954354153875,0,0
1.25563349703545,0,0
1.54082431898269,0,0
1.40208112058075,0,0
1.26129009829796,0,0
0.914099675408654,0,0
1.70695798282979,0,0
1.02826321020433,0,0
1.07492861957371,0,0
1.19866566193808,0,0
1.08987947075284,0,0
1.33303348419308,0,0
1.48548735100065,0,0
0.932214298386252,0,0
1.14845798435972,0,0
1.12046758990698,0,0
0.874778207148238,0,0
1.47504550976368,0,0
2.03563832246698,0,0
0.994590402082034,0,0
1.24067355015753,0,0
1.38265563586885,0,0
0.944585286821596,0,0
1.46337329951016,0,0
1.24970510001957,0,0
1.68829507631716,0,0
1.00543534425124,0,0
1.41785072405596,0,0
1.80988168100917,0,0
1.16730513029079,0,0
1.36551908397862,0,0
0.857976292623452,0,0
1.58317199274859,0,0
1.69241140508256,0,0
1.24722958838639,0,0
1.53130520222692,0,0
1.81351038514109,0,0
1.6460489555561,0,0
1.38159689868022,0,0
0.757463649755208,0,0
1.50241401979387,0,0
1.12253343176264,0,0
1.02937987859059,0,0
1.59265002357408,0,0
1.16931221702953,0,0
0.874548224910309,0,0
1.08856824555496,0,0
1.95534100639222,0,0
1.62076665568882,0,0
1.07033066076188,0,0
1.08622961550502,0,0
1.62873654989213,0,0
1.99005445179139,0,0
1.29403609979183,0,0
1.64445688717552,0,0
1.17879771507524,0,0
1.17800461034884,0,0
1.46538225438331,0,0
1.4587408042482,0,0
1.26260993283266,0,0
1.30984595289528,0,0
1.32426145770845,0,0
1.03218321761945,0,0
1.44349199642596,0,0
1.59558767905909,0,0
0.959389075418306,0,0
1.34820638802635,0,0
1.3022709783473,0,0
0.910778425373799,0,0
0.533143488035085,0,0
1.43968052698224,0,0
1.58324335407667,0,0
1.4574960681627,0,0
1.23771609789949,0,0
